Timestamp,What is your major?,How satisfied are you with this course? (1-5),How often do you attend class?,How would you rate the professor's teaching? (1-5),How manageable is the workload? (1-5),What is your year in school?,How likely are you to recommend this course? (1-10),What could be improved about this course?,Gender,How do you prefer to study?
2026-01-10 09:14:22,Computer Science,5,Always,5,4,Junior,9,More real-world projects would be great,Male,Group study
2026-01-10 09:22:31,Business,3,Often,4,3,Sophomore,6,The pacing is sometimes too fast,Female,Solo study
2026-01-10 09:45:10,Engineering,4,Always,5,3,Senior,8,Nothing really it's a solid course,Male,Group study
2026-01-10 10:01:55,Psychology,2,Sometimes,3,2,Freshman,4,More time on assignments please,Female,Solo study
2026-01-10 10:15:42,Computer Science,5,Always,5,5,Senior,10,Nothing to improve keep it up,Male,Online resources
2026-01-10 10:33:18,Biology,4,Often,4,4,Junior,8,Maybe more office hours,Female,Group study
2026-01-10 10:48:05,Business,3,Rarely,2,2,Sophomore,3,The slides are hard to follow,Male,Solo study
2026-01-10 11:02:29,Engineering,5,Always,5,4,Junior,9,More interactive labs,Female,Group study
2026-01-10 11:19:44,Psychology,4,Often,4,3,Senior,7,Clearer grading rubric would help,Male,Online resources
2026-01-10 11:35:57,Computer Science,5,Always,5,5,Junior,10,Nothing it is perfect,Female,Online resources
2026-01-10 12:00:13,Biology,3,Sometimes,3,3,Freshman,5,More visual aids in lectures,Male,Solo study
2026-01-10 12:14:38,Nursing,4,Often,4,4,Senior,8,More case studies,Female,Group study
2026-01-10 12:28:02,Business,2,Rarely,3,1,Freshman,3,Workload is overwhelming,Male,Solo study
2026-01-10 12:45:19,Engineering,5,Always,5,5,Senior,10,Maybe more guest speakers,Female,Online resources
2026-01-10 13:00:44,Computer Science,4,Often,4,4,Sophomore,8,More coding exercises,Male,Group study
2026-01-10 13:17:21,Psychology,3,Sometimes,3,2,Junior,5,The textbook is too expensive,Female,Solo study
2026-01-10 13:31:55,Nursing,5,Always,5,4,Senior,9,Nothing at all great class,Male,Group study
2026-01-10 13:48:10,Biology,4,Often,4,3,Sophomore,7,Faster feedback on assignments,Female,Online resources
2026-01-10 14:05:33,Business,3,Sometimes,3,3,Junior,6,More group projects,Male,Group study
2026-01-10 14:22:47,Engineering,4,Always,4,4,Freshman,8,Better lab equipment,Female,Solo study
2026-01-10 14:39:04,Computer Science,5,Always,5,5,Senior,10,Keep doing what you are doing,Male,Online resources
2026-01-10 14:55:21,Psychology,2,Rarely,2,2,Sophomore,3,More engaging lectures please,Female,Solo study
2026-01-10 15:12:38,Nursing,4,Often,5,4,Junior,8,Nothing major just minor tweaks,Male,Group study
2026-01-10 15:28:55,Biology,3,Sometimes,3,3,Freshman,5,More hands-on experiments,Female,Group study
2026-01-10 15:45:12,Business,5,Always,4,5,Senior,9,More industry connections,Male,Online resources
2026-01-10 16:01:29,Engineering,4,Often,4,3,Junior,7,Clearer project expectations,Female,Solo study
2026-01-10 16:17:46,Computer Science,3,Sometimes,4,3,Sophomore,6,More mentorship opportunities,Male,Online resources
2026-01-10 16:34:03,Psychology,5,Always,5,5,Senior,10,This course is amazing as is,Female,Group study
2026-01-10 16:50:20,Nursing,4,Often,4,4,Junior,8,More simulation practice,Male,Group study
2026-01-10 17:06:37,Biology,2,Rarely,3,2,Freshman,4,Lectures go too fast,Female,Solo study
